gene
EXOC6B
TPPP3
IFIT2
SLIT2
TPR
OAS1
RBFOX2
GALNT7
TRIM33
MTR
TPM3
PDE1C
CAT
ATP8A1
PDK3
SLC35E3
PPP2R1B
IER3
FBXO21
HBEGF
EML4
ORC3
YIPF4
CRABP2
NDUFA10
SRRM1
PLCE1
OAT
TNS3
USP33
RPS27L
TMEM30B
ITPR1
TSPAN4
PLXNC1
FECH
ITGAX
ZNF518A
TDRKH
PER2
CD74
MAN2C1
RGS2
DOK4
KAT7
CRYBG3
CCDC22
C6orf62
ISCU
GON4L
SORL1
TRAK2
NR0B2
NCOR1
IGBP1
ARMCX2
MYBL1
TJAP1
PIAS2
EPHA3
ITFG1
DGKD
ANTXR1
NOX4
TTC27
TP63
OMD
IVD
CFAP20
RPS29
COPZ2
BDH2
HMGB2
ACAD10
APC
PER3
IFT22
PRKD1
GJA1
SPRED2
ALMS1
ZNF471
SLC8A1
WARS2
GNB5
EFCAB11
SLC25A5
PEX7
FBXO24
EVL
TCF4
SCUBE2
LTBP1
P2RX7
MCM2
N4BP2L2
TSN
TLR3
GABRA4
NEB
ACOT13
PCF11
PLOD3
C2orf49
CLASRP
NPTN
STRN
SHARPIN
COBLL1
